,content
12427,the BEST day ever. I met the greatest 10 year olds. but i will never see them again.. AHH. i'll miss them (i saw them 1 hour xD) SAD
9042,"i want a dog or a cat or something  i want something to unconditonally love, thats not materialistic or a family memeber"
24549,@HaoranC Go for it!!
12053,@KTVL I gave up following @KimSherrell - She seems really nice but clutters the hell out of my feed.  It got annoying.
2079,@zaam It's is in the July issue of OXM... so I don't have anything to link you to right now
29897,@Java4Two TY very much for FF
17623,I hve a blister on my pinky nd it hurts soooo much!
12198,FJGKFLD;'Sdh WHY AM I NOT AT HOMETOWN DAYS WITH MY FRIENDS.
31201,"@tonyrobbins it's ok to tell yourself, 'I'm different!' because you are."
5787,Now to go home and cry
6108,@claireyjonesy mines curly atm  i want mine to be straight lmao
27609,"@lamacq Si seguisses als stormtroopers, a Jabba The Hut i a Death Star te n'hauries enterat abans que jo!"
9975,#Java is not working - hmph!  Can't upload photos to #Facebook.
19225,I am finally plugged in to listen to Flashpoints on http//:www.kpfa.org shoutout @norabf and have missed the segment about Chevron
7931,@iamdiddy I need a hug cuz these garbage truck men keep driving next to me whistling and Im working too hard 2 graduate...
745,@daveg38 yeah work today  never mind only one day then sun sun sun....
37607,its ok @samcarterrules saw u with joey thought u looked interesting like the same things on  #SanctuarySunday
38503,"is up, slightly later than planned... gunna get this essay done 2day!!"
25362,@hot30 see u bye see u!  i love the hot30
9348,@marebear521 did u try taco n mac n cheese pizza???? I'm so cravin it right now BUT all the good food makes me sick
21650,@nnaa the rain was pretty nice. I only have 150 meters of cobbles on my way here
31105,@daysgoby - thanks!  it'll be great    ... and even better as soon as I get that wallet in my grubby little hands!  lol
17497,@hopei91 I am lost. Please help me find a good home.
22375,When will you be saying &quot; hello there NEW ZEALAND &quot;  haha @taylorswift13
29731,i have no idea what im doing and i am completely lost.
34347,@amberchase ~ We voted! You have 760 now.
38833,@melissagreen http://twitpic.com/4wsk3 - too cute
5149,@miss_devi thankyou. i wont but you know
21041,@natalietran I don't like the term &quot;partner&quot; when it comes to relationships. It's too business like so that's my ugly word of the day
26226,"@LeelooDogBlog Thanks for all of the awesome tweets LeeLoo, glad you enjoyed the weekend."
21863,Celebrating the fact that Norwich City got relegated yesterday.  Seems like myself and the awfully nice Mr Fry are football rivals!
11019,@MItchBenn ooo and good luck for dundee tonight i can't be there cos i have a ton of uni work
8373,"BTW, for the record, can I just say I have waaay too many clothes.  While packing, found a green boa &amp; a 22&quot; velvet and black corset."
26985,@kduggs1 OMG I just spit my drink out! RIP hair straightener!!
38633,@jonbongato haha it will be interesting haha
18350,"Just chillin' in pjs after a short, but long week - why is someone continually knocking at my door?"
26711,@GotSoul GREAT song
26378,@dougiemcfly have fun walking home on your own  xo
14152,just got home and  i got to freakkin clen
13757,"@nicole531 http://twitpic.com/5s5f9 - Joe had the same shirt in the concer here, in Chilee! hahaha Big rob wasn't here"
4941,sitting in awe that the price to renew my laptops warranty has doubled in a matter of weeks
17989,had my last class with Scott and Julie today  going to miss them... they bought me a bottle of champagne as a congratulatory gift.
5931,@_Enigma__ OMG daon't tell me you have watched twilight enuff to know that !!
35649,"Hope everyone is okay, especially Americans who are affected by the fire or the Swine flu(h1n1) . OKay, I should pray for them"
31822,"@ms_hypnotic oh thanx, just when i thought ilost it, iappreciate it"
19272,epic fail with the chocolate fountain that got CLOGGED
26718,Omfg this test is a joke.
172,is feeling sad... for some reason..  http://plurk.com/p/wxji3
28219,"Ah, that was easy  I just received the new link for the Reegie rig"
20908,Finally sleep time
25937,@TechSmith whatever u want us to wear / stick / show off around DUMBO Brooklyn &amp; Manhattan
38028,I have Vampire Knight  music!!!  I feel very special..
930,Blackout in the city is never good
34708,watching marley and me
39999,@mopedronin bullet train from tokyo    the gf and i have been visiting japan since thursday  vacation/sightseeing    gaijin godzilla
4013,"@Laura_McKay2009 sadly no, sitting inside as mobile signal won't work in the garden   I'll be opening the wine at bang on 5pm though!"
9204,Got a deadline to meet!!! No TGIF for me
38239,@scarlethyacinth I'm working on a painting due for school and hating myself for sleeping all damn day and starting this so late.
6710,@jmorgan0909 and I'm not getting another one ... There's only 1 alfie
35720,@SarinneJonas thats so cool
38641,@kiwi_from_hell @sporkess how's monday for you?
19942,@FlyGyrl1 I been following.... LOL.. just dont be paying attention to little ol Mylan
10223,Just had some babi pangang. Now off to friends. Tomorrow it's working time again
29312,@mbm88 ahhh I'm drinking some too!! And bride wars is really good
26497,Finally upgraded to Spotify premium - exceeded my threshold of awesomeness some time ago. Now where's the iPhone app &amp; remote @spotify?
36812,@bgbrwneyesNY hm... i don't I can recommend any white chocolates though.. you have to move to the 'dark' side first..
36371,"@ppchen hehe, yes i did change my name. like it?"
33968,"@DMBwine yes - I'm having my usual battle with my bed. Bed is winning, so far  How are you chick?"
36269,"Installed NetGear 802.11n (draft) router today, throughput has definately increased"
35021,Hello Everybody   'Tis a cloudy day here in Amanzimtoti today.
12849,@SQLDBA Sorry  I'll make sure to bomb in talk at SSUG next month as penance ;-)
13491,Headache
34280,"@kristenstewart9 WOW, I can't believe u reached the Facebook limit for # of friends! Crazy!!"
30572,@tonysarti is it in crowntown? i think i may just meet you there? let me get ready and ill let you know
4940,@tigerlilyleo lots and lots of red wine...knowing good and well how it has managed to make me sick a few times before
19022,so bored...miss everybody already
34311,@arcadecore you wish
36339,Staying in the mercure
34579,@steve_berra happy birthday!
25733,NEW STRIPEY TOP DAY!
31890,"Happy Mother's Day to all the moms! If you're an awesome mom, you'll help #savechuck"
38308,Just downloaded a podcast @ the bus stop
24358,@meriel I know it's not meeeee. Im surprised either  At least I get to laugh at myself UNLIKE SOME OTHER PEOPLE )
2683,@Phoebo yeah....but I finish go home get changed etc etc then im off again
37503,Found controls for left hand people like me on twitterrific. Excellent
25888,@pincheguera I got you today
31002,Gonna celebrate Mothers Day with the family but gonna start the partying tonite
22294,@player112345 Good Morrow! How are you this fair morn?
25699,Good morning Monday...  I feel as though you came to visit too early... But I am happy to see you none the less.
27074,@Djalfy I sound really Brummie lol but most of all I just hate looking at myself!
6545,Yesterday I heard a song about taking a base onto a plane. Can someone help me find it? I don't know anything else about it.
10646,Home from school. Out tonight? Probably not
18529,No B2G1 for me.  Trying to save cash for next month's vacation.
16462,Is heading to work n its freezing!
14892,@aileenwilliams Yes but was the nice one. He couldn't believe the other guy kicked Max. He's off for a week soon
5536,@NancyEDunne oh Nancy - so sorry for your loss  &amp; wishing you the best!
17009,@ceidiog I'm not in America! I'm not going anymore  You phoned earlier?
34318,@citycynic Sounds good to me! No more cleaning cynics orders. Haha. Good night. Talk tomorrow.
36721,@wildarmsheero That's exactly why I follow you.
34173,the boys didn't finish their tacos so now I'm eating them happily
30844,Happy mothers day to all the mums!
39146,couldn't resist ? http://blip.fm/~5z7v3
28582,@DiscoStarChild hahaha n I'm a do the same for u
10599,PArts of me are starting to feel the effects of over tanning
22149,@JLSOfficial ... but i could barely speak! He was probably thinking 'who is the weirdo?' LOOOOL. Say sorry to him for me please?  x &lt;3
16955,Scared  waiting for the call
28826,@retrorewind can you play I Wish by Jordan Knight
18713,@MilaXX don't go to logan square we're pretty sure the shirt isn't there  1 more philly local tmrw
14725,@mikki_kayla02 Sorry! I didn't mean to ruin the rest of your day
32115,Fuzzball is more fun than Mother's Day  http://tinyurl.com/dhpol7
6302,Sad day in the office. Glad it's Friday. Like to get away from this for a while. Poor co-worker just lost her son.
24878,"@kiranchetrycnn Kiran, Sorry about ur bad land'g: Hope ur neck feels better. At least, u didn't break it like JD. Btw, ur in fine shape."
37574,@welshblue78 I did?!  yay! Where did I get that extra ï¿½300 from? Hmm.. anyway  I'm going to be partying hard when I get it
35715,"@MISS_OTTAWA ur welcome, sweet dreams!"
26960,Well hopefully I'll see you both @rasikakrishna @chrisloos at the conference
25101,Good morning my little twitternut squashes   How are you all today? whats the weather like where you are?
10127,@omar10points haha calm down. Youll get ur shades. I'm still sick tho. So I'll prolly knockout after
9800,@yayamartinez dude i am so sorry!!!!! I never got that number for you my fail  i just remembered
31082,Signing off. Mom's day tomorrow.
8105,And it's gone.
29165,"@destroytoday - Tweetie is using Yfrog now, I think, so any chance of adding it to the in-client image viewing?"
36568,i just read the sweetest story in the entire world  love it http://bit.ly/118lGL
2272,@fauzims It was white...  I acidentally left it in when i was doing my colours...
13654,@BrittanyASnow LOL YOU ALWAYS FORGET ME
4589,I feel like... I'm not gonna make it this year
21002,@rosieroserosie can't believe i wasn't following you! am now  have an anatomy prac tmw so tonight i'm all about structr of the lwr limb
23896,@IndigoGardens Lol! Joyologist? Love it - much better than the happy freak who can't stop smiling  Enjoy Monday!
27643,watching shows I missed on the ellipital--- love my on-demand!
396,my stupid tooooth hurts
16565,owe i just burnt my hand on the toaster oven
29576,finished the book... vat a good book &lt;3333
8588,@ThePrinceBeMe Awww why you giving me sad faces? That's how you feel?
33728,@Dropsofreign make a prank call for me
19150,has a tummy ache.
26787,i have to study :O talk to you later  xxx
31135,Can't wait for the next twitter.
16248,@mitchelmusso how do you call that number from the UK ??  I really want to call u but I don't know how to  xxxxxx
32263,"@ocell great to hear you saw Slumdog Millionaire! And yes, that's a Bollywood thing at the end"
15182,People are just pisssing me offf. Ugh
139,"I cant sleep, but im too sore to move"
3383,@DJIronik hmm....well it aint that hot in hull lol   xx
28493,@MaddieWan Maddie starts working? WATCH OUT WORLD!
23742,"oooh babies, i wanna hug you all"
13129,@Akoha i promised myself i would spread the cards around India...and I only gave someone a deck &amp; then never gave them out
10897,I need to lay down. Cramps suck asshole.
26500,Good Monday to all. It's still wet outside but inside I'm sunny  I'm feeling a surge of warmth and energy. This will be a good day!
16773,@karleigh and @katiesantry there is no top 40 radio station in fresno!
12632,Ouch just burned myself making soup for nico...
22603,"mmm, just had the best delicious chocolate pancakes for tea break. oh thank God for HERHSEY'S Chocolate Syrup!"
19059,wishing i could go to CaBo tonight
12363,@lell I live here and I don't see all these great things
16643,"Upcoming trip...Italy, France and Belgium...yeah.  Sadly, no Germany.  Surprisingly bummed about that.  Almost a tradition."
27548,@madamecomedy IKR?! My mom got it for me a birthday a few years ago. Tis the best
35241,HMV Shinjuku
27960,happy star wars dayyyy =D and hbd to uncle LEE
8811,I do NOT feel good today
37327,Happy Mother's Day!
24958,@mandacrow good morning!
35385,@npyskater Thank you!
25913,On train with at least two gaggles of teenagers sitting &amp; the commuters squished standing in the back...at least the teenagers let me sit
2738,@empemp: aiaahh.. poor u  tell ur mom already?
36751,Loves fatty take away nights... yummy  then coming home and facespacing with my roomies
7581,@Jadeyyg  haa I'm so exciteddd woooo
39843,@halia Smile. Everything worked out.
35733,Watching the kids eating an ice cream.
10182,"@Yasmine32068 LOL I do too.... I can't take him back, I lost my receipt!"
18152,i need to speak with @sofiedeville! but i left my phone at home
35724,@JackieShimamoto i love cobra starship!!  thanks for the suggestion!
18318,leather jackets=uncomfortable....not my thing
31591,@homeworld http://is.gd/yiOj
2493,very tired and anxious
13183,a headache once again ugh
26133,graphic design..should be making a business card..but im on TWITTER!
3831,Almost showtime in Osaka.  Our last night here in Japan  I will miss youuuu
8913,Such a beautiful day...wish my bike hadn't been run over by a car - hit and run.   #bikeTO
21176,@mohdrafie Theres no such thing
28474,@sozah Morning Sunshine
35908,@AndrewRatcliffe  they certainly warmed mine
39392,@verflucht Thanks
30526,"@etherjammer  I think it's because I'm always offtopic and sometimes inappropriate (germination and &quot;fruit picking&quot; jokes, etc)"
19476,@hannahxmakeup my stupid putet won't let me go to your chat
15709,"i'm sunburnt on my arms, and i have burnt my mouth, and some skin is coming off"
23909,"@Mollieandme Hello, you are sooo awesome!! Dont ever stop what your doing haha, You make me fall off my chair laughing  x"
17052,"Today is just not my day. I can't seem to feel any better. If i dont eat, im hungry. If i do eat, i feel like im gonna be sick. Blah"
31632,"Thanks for the concern, guys. A few stitches later, all is well. Whew."
16559,@hatz94 Nooooo get on now! Haha i'll be gone later
17533,@Colie5cent $300 later... I feel so good! But guilty
35989,@cbraik very cute and pretty
15575,Aaarrrgh! I sooo want to see @johnlegend at MSG in August but dammit the decent seats are expensive. Booooooo recession!
20902,I'm writing from my BlackBerry now.
7618,@etdragon i'm playing good because i'm a big baby
113,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo
28477,@librariansti it's like the library equivalent of &quot;it's 5 o'clock somewhere.&quot; someone else in on the ref desk somewhere
9075,@fletchernet i help represent high profile actors for their tv/film/theatre careers so get free tix.. but not for Jersey Boys..
10816,one hour till I go home and commence pouting because no Bahama trip for me
13696,@Rysherd yes! My co-workers don't go to bars with me
37498,@sarahnd for nearly a month!!  So exciting
33034,@kierantong I know anne and judy
39779,"http://twitpic.com/4wukz - At Covershots, Kelana Jaya, for Carter &amp; Nicole's wedding"
2405,@AntBoogieWorld Wish you were coming to Australia &amp; New Zealand with the Sticky Tour Ant
25805,@Farung now Eating and meeting at the same time sigh well well I want to start work out too but will have to wait move to my new house
19400,@yomama8929 I go into the room for the first time in weeks and you're off cleaning
8505,"this evening,picking up n'pop and go for dinner at Ta Lum Tum Tum (som-tum),Major Avenue..decided to go home(not clubing tonite).."
36912,I am listening to the music of Super Juniors of Korea. I so like the way they sing and dance. I hope someday i can meet them.
7304,"am planning on going to sleep early, too tired to do any work"
35681,@unitechy wud like to. But I actually have a free weekend this time and family is visiting. so I'm staying put. next time
27803,@twistedthursday She does!
36933,@glennlunder Yep. Wasn't that much to play with though. Just install and voilï¿½! It works  But you need a fast connection...
32407,@Werby76 oh suuuuuuuure...rub it in why don't ya!!!!!!!!! LOL Enjoy!
8218,"Awww NOOO, not my Venus        Will redemption come in doubles?"
28618,Thanks so much to everyone who came out to Speakeasy last night! What a hit. Wonderful to see you all having fun! June will be awesome.
7285,"@shae75 ooo Growl and Yummy time coming soon for you too huh oh yeah, I have been hunting for a combo tshirt, think I can find one?  NO"
19915,Josie's out of surgery. She's now officially unable to procreate. And She's way out of it... Poor medicated baby
10591,R is going to be mad :/ Science of Sleep is missing and it's due back! I didn't even get to watch it!
14154,"Choir assembly was bad  it's fucking hot, yay!"
31665,@Jinxie_G yup - that's where I watch all my movies
29032,I lafff the rain
5094,home for lunch &amp; double free. work 5-8. so much school work
32747,"Incase I forget, Happy Mother's Day to all you moms out there, and to my mommy. The very best one in the world"
20127,"says i got 2 cards today, from eva n clara. thanks, guys.  http://plurk.com/p/roo6c"
13576,Too busy at work today to trash the cubes of vacationing team members
14423,"@ScotDale i dont, i'm not allowed to vote  perants complain about the cost so dont let me vote. but i love his act its just so different"
3743,I need something t do like hello... Im fucking bored now.  um... yeh...
6242,So booooored  I learned this though! ????????
17455,Sick of fighting so it looks like no more burlesque for me
26106,I don't wanna work a 10-hour shift today! I'd rather whisper sweet-nothings into the earpiece of a lady friend's cellphone.
624,"Ok, other then my shoe, the club is cool. Its fun, and its poppin except 4 the ppl tryna dance wit me"
12761,@JennLovesM5 DUDE WHAT? I WANNNNAAAA GOOOOOO
6845,@scarletty24 i know.. i suck.. i'm a master procrastinator  ... you guys don't have too much fun without me
35431,this one goes out to Jimmy Fallon and Justin Timberlake...doin' their Gibb Bros show on SNL  ? http://blip.fm/~5z1vd
34743,Making a milo
17291,I need to look at apartments tomorrow
30317,"I love these App things, it be hella awesome bro."
23804,@crazy_people sure is
29384,@GreeGreece it's the little thing that links us to England
25031,@ChrisCuomo DO NOT DO IT  I've seen enough  movies to &quot;know&quot; that something terrible will happen... LOL
37294,Marking going ok so far A's and B's so far - relieved it looks like I have future programmers in class
16530,@mtmont gah!!! twitpic is uploading sideways today
34894,Paper writing til my heart's content
31337,Heaven- Bryan Adams
15019,I need a Xanax and have none
18097,@Pointman24 I always yell TRADE ME when I see old people with super nice cars. I have an old people car
2771,Trying to get some sleep but cant  i gotta wake up early for my doctors appointment too ugh!!
39110,"@LucyKD lmao, im only joking mate"
18176,big sis moved out 2day  its gna b weird without her! X
18295,"has just finished reading Twilight and thought it was crap...okay, it was alright...okay, i love it and really wanna read the next one"
15962,&lt;--has no internet for the weekend
18507,"@iCharlotte My original non-Yahoo acc. was deleted when they got bought-out  But it's not too bad, I don't receive any Yahoo-spam from it."
21475,@ksidney wolverine was GREAT!!!  a must see
36821,"@typezero3 Hehe...until it comes back, your FB friends get a Twitter respite huh? JK!"
44,@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken
9227,"lol, you can see the sunburnnn    its not achurley that bad =| least i dont think it is xD http://tinyurl.com/njubcl"
14422,"Damn Rain!!!!! Oh well, looks like the only football I'll experience today is the FA cup final!"
31639,My lesson is finally done for tomorrow morning. I am looking forward to speaking to the high schoolers on dating.
7653,"@BiggaBX Yes, It's only fair  lol"
6666,Take that back on the cast...one dropped last night!
28473,"has just come back from horse riding, what a brilliant day"
19292,Burning my tongue on Won Ton soup
38905,"@MCsavedmylife thank you, your dedication as a lamb is unparalleled also, all true lambs dedication is unparalleled"
25750,SO BORED.
6322,@Pichu Crap. Now you have to cover the whole purse with those so it looks like a pattern.
27936,Time to get educated  Hope you all are off for a great start on this Monday morning
24900,Getting ready for my first &quot;real&quot; day of work in five months...words of encouragement are welcome
36767,@PinkyNKOTB hi I'm ok   still not feeling great
37702,Sending blessings out to @gailelaine
9048,@dysonrules don't make me smite you! and yeah @micolerose yeah it really does. No cuties for me
32228,@mnmissy you should do an # for the safesex topic
31830,"GREEN DAY IS PERFORMING ON SNL NEXT WEEK!  sorry, that made me happy and i'm still all ditzy from the Justin Timberlake skits"
16895,@mitchelmusso I aint got no money to buy any cred to call u  and am in lONDON
22664,@SpikeTheLobster How do you spell ppphhhhhttttt?
13536,arrg - i've been trying to upload my picture...darn thing won't let me
12701,just because you're a superstar it doesn't mean you have to do that !
19160,I have nacho chips...but no cheese.
23883,got live last night at our  vid comin soonnn
7696,"@opaque19 I can't do that.  I take it at 11, or I work through it.  Those are my options here."
18016,My best friend is away at special olympics . She said she was gonna bring me .
4250,I miss my boys
31654,@aziraA YEAYYY! good for you
6363,I wanna go see the cab really bad.
27949,@erwin57 Peek-a-boo!! i can see you!!
17956,"@joyquality Yeah, but not always."
27340,Ready for Mother's Day? http://tinyurl.com/dcgeyv
34966,"@switchfoot My youth group was there! I would have liked 2 go, but I couldn't afford it, &amp; I had a drama performance/party...  Luv ya tho!"
20352,www.loveisthecure.net is up! Check it out
33330,@Michaelcopon: Awesome. Tell me if its good. I might watch it
14127,Im going bed i dnt feel well as always
31872,@ShaylaSenzafine haha..yeah..10th of May..lol..im greeting in advance! haha
