,content_mod
23787, why thankyou   suggested fannie bay (but it is in darwin)   
995, yayyyyyyyyyyy!!!!! but thats sp far away!   
34099, if you're watching this...i love you. i almost died. but now...she means nothing!   
34446, great!   
3731,  yeaaaahh.   
37442,"going for a walk in nmme to test out new hiking equipment: telescopic trekking poles, boots, coolmax socks   "
16336, better than what i did to my macbook keyboard yesterday! (spilled a whole cup of hot chocolate on it.)   
19509,scramming a little early. nibs sounds pathetic.   
13198,"oh no, i need new work shoes...i broke this one!   "
8087,is sadly going to have to cancel my chicago trip next week.   
31361, college cops: they get suspicious when they see more than one person in a group together.   
38855," haha! night man, and no, but im sure i'll meet her again in my lifetime, in fact i will...no doubt about it.   "
11250,happy 2 b out of school!!!!!!! people just piss me off sometimes   
460, reminds me of the weather a month ago it was horrible  i hope all is well hugs   
28110, too short as usual...  but was awesome   
20567,"it's a perfect day to throw back your head and kiss it all good bye - love it, so cheerful!!  ?    "
10168,i'm suppose to get up to go find sumthin to wear tomorrow but i can't get up   
35971, ten update away from 2000 whooo hoooo budden!   
34065,had a long day at work. stood home. now sleeping to have another long day at work tomorrow & happy mothers day to all mothers   
20069, morning! are u back in blighty bill? hope u had a lovely time away   
23527,"ha, the first request for sending a paper copy of my thesis   "
16343," got tickets for your gig in glasgow, gutted we have to wait til november though   "
18664, so wish we could all be there   
27292, my hero   
6412, miss chatting with you   
15460,"just got a follow from . yep, it's spam. damn twitter traffic machine.   "
13652,i'm really full and i feel sick   
31853," tell zach & jer i said happy birthday!  they seem like cool brothers, youre lucky haha   "
1430,  you're faking it! hahaha...i kid.   
35278,had the best lazy/really productive day ever. so many options lay ahead of me.  my only job is prioritize them  thank u universe. -luv dd   
20499,"if any one is looking for  he is now at   (and if you don't know him yet, follow him anyways, good guy)   "
4948,sephora is having a 75% off sale. and i'm so broke  life isn't fair.   
34051, nope - just playing with one  i think i'm going to wait for the next iphone   
7827,wishes i could be the one going to our conference in the bahamas next week   
20385,#todo cleaning the apartment - again - who keeps making this mess? oh yeah .. me. $10 + hug for the person to help come clean   
1178,wow i have no friends on twitter   
18822," ew, i used to get suicides in high school and mix like 5 sodas together. then drink it. i think i remember enjoying it, too.   "
14854,  you don't love me anymore!   
20295,#musicmonday nicest thing from kate nash   
3797, : nooo  i don't know why...i click on tweetdeck_0_25_manual_blink182.air and it doesn't run!! so sad...   
21437,is having this massive headache! and all i want to do is eat some nachos..   
25277,lying with my new lab pup on my lap   
8683,"it's so annoying when i want to go see the sats,  and  in concert..but i know i'll have to pay   "
394,oh no!  nighty night.   
37090,is tatteddddd!!!!!!!!!!!!!   
29837, yeaup. i was gonna tell ya that   
38259, go on the msnnnn or ring my home phone  now   
37275,"i'm seeing quite a few proto-furries here, now that i think of it.  #acen   "
25425,trying to figure out this whole twitter thing! thanks scott & allison...now i can't concentrate on work   
18309,"last day of the tv up-fronts w/ our colleagues from sydney, paris, london...   "
39638, thank you clayton. going to my favorite greek resturant after church for mom's day!!!!  loved you on huckabee   
37220,ok now i can hit the hay. thank you   
21081, hehehehe oh i love the purate english sooo much   
5375,"   you had 6 - 5 star reviews in canada, at least until the talk like a canadian incident   "
23107, well.. i dont have to do any resits... lol... so its my last exam   
5421," nah, he won't  but i will sit here and enjoy the view :-p   "
25728,"yup, def swine flu. i think it was the sausage.   "
24194,i absolutely love mike watts from sexy heroes   
7552,"  we're gonna miss you. dont worry, there will be more for sure!   "
18253, iphone is doing that not opening downloaded apps thing and i forgot my cord at home   
6546,finally sunny days and i'm too sick to go outside and play.   
2743, oh you and  had free drinks?! thats wasup..im givin up drinkin for a lil bit   
12277,"just found about ten typos in one story in the plain dealer, including one run on sentence. it happens more and more these days   "
33187, good to hear that  allah aapko sehat de (y)   
772,intentando intentarlo once again!   
9410," thankies! btw, what part of scotland do you live in? i never got to visit the uk at all when i lived in europe   "
37983, i have tickets worth about 70 kd - about 880 derham - for ta'3yeem my car's window   
8866, aw   
33550,woo cavs.  happy mother's day!   
3927,just got up a half hour ago.... ugh not much sleep   
5785,"i also want it to be the 6th, i miss my girlies so much   we get to be roomies again!   "
8878,my throat hurts   
3993, don't have one yet  but hopefully i'll be ponying up for one soon because this 15 is definitely hitting a wall   
30285,at bif.... i love this buliding....   
5704,another day in jury duty.   
20319," it would hurt only when you touch it or when it gets hit. but when you don't, it won't  but after a month it wouldn't hurt na!   "
9999,wishing i could kidnap  from work   
39603, so you liked it. glad to hear   
960, ok that's subtly saying i'm no longer a fave  temme 1 thing - did the firangs steal your vocab? ur eating words and how!   
32398, so are you going to watch star trek or wolverine..? i bet you are going to watch both  right?   
38495,"love song for the night, then by brad paisley.  happy mother's day   love & light ~ joy   "
34368,im so done defending him. im going to bed and im gonna give my mom a happy mothers day.  at least ill try.   
1885, what's wrong?   
21707, i got it   
2499,hates karma down. bakit kse nilagnat aq khpon?     
24275, & i are lucas till & david henrie lovers. both boys are very cute  but  you can have lucas & ill have henrie  deal   
2740,so cold   
9121," sorry to hear about your dude probs, what is it that's too much?   "
13079,enjoying my couch for the last time   
16303, sorry to hear about the wait list   
27220,in gym doin it up in paddle ball!!!!   xo.   
10558," i know, they're shit. i am trying to sort out my portfolio and i don't know what to put in it!   "
18562,finally lost fm97   
18150,megaman 2.5d... wow! capcom please don't chuck a 'square-enix' and put a cease and desist order on this project   
37015,"going out with my tita gi, sister and my beloved lola! were going to treat her for dinner! wohoo... so excited and hungry...   "
36579,nearly grand prix time   
17615,look how   choke on this dick talks to me   
4946,is awake.  still feeling sick.     but i got the blog done at least.    
21135,"ready to go to sleep... its too hot in my room, yey first time sleeping in that huge bed  excited!   "
23740, i hope such moments inspire you on your political journey back home. all the best   
23792, good to know pln's earthday doesn't only happen in my neck of the woods   
19954, i miss you too   
32718,happy mother`s day to your moms !   
29129, just watch evan longoria   
27989,goingg to school today   
21673, hey fellow trojan..congrats on graduation.   
36551,chillin' following some cool people!   
11979,: and this year i have summer school.   
421, jealous  it looks like schindler's list in toronto   
3018,ugh. i totally can't sleep.   
32863,happpppy mothers day   
32375,sturday night live   
23625, haha. your a loser.  ily   
17884,is at work   
8871,"i just slept that entire flight, and woke up to the fact that the girl beside me had been watching chitty chitty bang bang!   "
32212,"tiiiiiiired! going to bed! drinking leads to making out with boys, who you later forget their names.... don't drink kids. goodnight   "
26368,   god peppermint mochas frappachinos are amazing...  and addicting   
11857,"not smoking sucks sucks fucking sucks, i want a cig   "
37296,i can't wait. 2 more days till happiness.   
23341, well best of luck   
34171,"george lopez, bed, mommys day tomorrow ;)  i wish house was on hugh laurie, is sexay. sometimes i like way older guys.   "
8470, lol dammit  well then next time then   
22828, we'll get hitched when you get here.   
6012,it will if i do it in a round about way. i ahve to copy the public contacts into my personal contacts first.  no big deal   
13423,errg i cant believe that i am not working at all next week i think its time to move on from chick fil a   
19090,laying across my bed... hurt my back a few days ago   
14233,  i got too do course work   i hate it it is hard this one   
1163,damnit. i have run out of candy coated books.   
15789, well u weren't around 2 twit   
30144,"we just crossed into the golden state, its nice being home   "
22061,"discovering kindred spirits on and off line, here and there.   "
16512,this economy thing is getting us down. i stay positive mostly but sometimes it really gets to me. hoping todd gets work soon.   
28139, doubtful! it's going to be on 24/2!   
37125,: where did you get a copy? i wanna watch that also.   
21182, just like you  jonas   
32304, - i can do nana or nana rocks for you in rhinestones & do printed onesies for them my nana loves me   
31980,         thanks so much !   
27661," actually,we r going there in june with my office colleagues,paid by company   "
19039,drew's new songs make me cry.  i miss thomas already!   
33590,"have been writing since 6pm & i only have 300 words. can't help but edit as i write. stop it, self! oh, i've also been researching too.   "
16122, went last year. i gotta go to my friend's party tonight though.  i can never win   
2334,i need to get my friggin cameras cleand asap !!   
32387,she is all i can ever think about.     
8230,ok why am i still in the airport and my flightwas  1:47pm i haven't even boarded     
26801,yay for my very last class of the semester!   
35928,"niqhty niqht niqht .. all toqether, great day  ;;  ily yall !!   "
9225,  are you not well?   
19050,i have to be at work at 5 am  ... thanks to me ppl will be getting their freakin starbucks. peace out ppls!   
20, oh too bad! i hope it gets better. i've been having sleep issues lately too   
27625,bollywood fims & egyptian tea   
9815, so no video blogs anymore?   
17578,was just in a wreck. getting real sore now. it was their fault and they didn't have insurance. was planning to go to the wedding tonight   
30748,"  oh, and the fan is put together & love it!   "
21765, that's one of the reasons we thought should we have a kid?  nah - let's get a piano instead.    you poor buggers   
25978,dougie poynter replyed to me   
30822, good catch!  thanks a bunch- have to put up a new widget.   
20811, you finished eating?   
35652, love your voice  sing whisper!   (erniehalter live > )   
35727,clonecloud: actually it's distant processor provisioning  like the idea    
12223,i want some cookies.   
17926, is it done?   
2869, really? cuz  said it was releasd 24/4 here n the main station doesn't even hav it   
10403, yo wats up? how u doin 2day? u havnt answerd any of my replys   
25352,well not just making dinner making dinner with wet hair!   
1330," sigh. it is a sad, lonely profession.   "
21754," hey bettiye,  i did see her. stay tuned for videos and blog  hows was obsessed?? i need to get thru exams then imma watch it   "
38639," thanks, i love it   "
9603,"thus far, metaverse u has used the second life = virtual worlds, rather than the gamier terra nova usage. i'm in the tn camp  #metaverseu   "
35253, how long did it take you to learn the song   
6515,i have such a sore head   
19671,: unfortunately not.  i have to take it to a repair shop or replace it.   
21317,watch lowkey freestyling (and selling his mixtape  on  and performing in norwich tonight   
38355,"just had the best hot chocolate ever with chilli  on my way back to the uk now, i need my lovely bed....oh and a sunday roast mmmm.   "
18990,nursing sore back today   
7268,  asap. but..... kids are asleep. i have a car seat for arianna. we can take her with us? i need to pay vs bill!   
35809,living in ballarat again   
14035, i can understand the fear. i feel that way about many things. you really need motivation to overcome it. mine was guilt   
30046,"having a creative party with me, myself, and moi   "
10068," well at least they have good taste in art,cabinet appts.not so much   "
5084,not feeling very well.   
31380,getting ready for mothers day!...i love my mom!!   
22665,"yaaawwwnnn.....heading out to the gym, then off to work. happy monday.   "
34146,on my way to see diplo with my girl kathryn at smartbar!   
14800,"looks like rain again  oh well, it will give me a chance to work on a new crochet pattern i have in the works.   "
17773,"feels a sinus headache brewing, but can't take drugs.   "
9226, have fun at the show tonight... wish i could be there   
16781,"hey dude who turned down a flyer, you're a poser and not nice   "
4862,moving today.... sad day   
18180,  - sad day!  what a great guy and enthusiastic teacher.   
17817,well.. all my slacking off earned me a d and a c   but at least everything else are a's and b's ^^  next school year all b's and a's esh!   
25177,my 11y/o daughter and i have just had the kind of argument i don't mind having - over who loves the other more   
27602, that's true  i never believe my staff when they call in sick on mondays or fridays - lol!   
18078,kill me now i'm so sick    n it's friday night!!   
30106," did you go to uga? if so, i liked you better before i knew! ha!   "
10298,"btw, hey ppl. lol tgif. hopefully ur day is gr8. mine is aight. feeling like it kinda sux i got no plans 4 the wknd....   "
23038, compliment taken. thanks. key is to be yourself   
27962,at school. blagh. yay i'm getting the iphone in august!!   
34583, will u say shoutout to nikki!!! please   (soulja boy tell 'em live live > )   
2362, probably not in this weather   
3957,work out. now actual work   
29902,"i wanna move to england! ello, i must go to the loo. i will head to my caddy,yes. gahaha and the awesome accent.   "
31526, yay  u get to see ddub again ;) those 5 men always keep me happy & motivated   
21626,hope's she see her bestie today   
35810," haha, happened to me a lot of times. know the feeling. happy mums day to ur mom too delle   "
25002," yeah, it works better as a command   "
29948,haciendo mi primer app con thin + rack + some crazy stuff...   
31426, sti's doin' just fine  how bout you?   
13619, i am too old for vegas   
6015,scott's leaving now   
8022, how do we know if we won?   
33240,"we finally hit 1,000 friends! thanks!   "
22891, lol! thanks  glad i have the time off to spend with him! can't imagine trying to go into work right now.   
9154,transition time is over; tonight i work night shift. i woke up at 1330.   
22296," hey, u like fob 2! follow me, luv 2 talk more, looking 4 frineds + followers!  ~ellen~   "
39905,"really bored today. just ate a bowl ful of rasberries and grapes, now i'm waiting for my dinner   "
29359,"haircut as short as possible, even change color , new me   "
12709, im depressed like so baddddd.   
4964,ugh back to work today   
19458,"took calculus exam today, i think that i did well. i messed up one derivative identity though  well, i never miss that one again.   "
34672,i just received a mothers day card from my lovely daughter wishing my a happy mothers day     
13954,"  - ur so lucky! there, the stage its so close of theem! here not  i think we're dangerous (?   "
33374,finished practicing for today. a bit tired.     
22357," u dont even need to go to the options, the button is right there (on top right corner)   "
26172,todays the day twitterland...house closing begin at 11 and we should get to start moving in  3 into the new place.   
13378, hey it's that old writing avoidance  write 1 continuous flow non stop 4 10 mins=trick i use 2 loosen up gremlins!   
35095,happy mother's day everyone   
14916, oh i hate it when that happens. i when i transfered universities i had a hell of a time transferring my credits! lost a few   
32668," awww, thank you!  & you're welcome lol   "
4392," i have to wok a nite shift tonite so will miss it  please dm me, i promise i wont tell anyone else ;0) !!!   "
21940,has had a really good bank hoilday   
14006,time i get into the game they cancel it there will not be a 4th season  i like that show!   
38971,"g*morning! rain, rain and more rain.. ! but i don't care so much   "
36186,i'm calling your room-mate!!!   
23377,"  it's a pleasure , will be wary of girlie marshmallows from now on lol  you might have saved my life .lol ;-)   "
6409,i hate hiccups   
20736,trent reznor - liddle beotch doesnt get his way. this could be the title   
10564, yeahh! ryland was amazing xd but i didn't get a hug off him booo  suarez seemed a bit off tbh..but i think he'd just woken up   
25822,"do you click on the link after the post i can't believe how much sex i'm getting?....i mean, come on!   "
36919," dude, i pestered army personnel at mumbai airport to let me hold it so much that they had to *request* me to leave   "
17888, waaaaayyyyy too hot for that   
31934, lol i'll have to look on youtube later  thanks   
24852,"i'm eating a flake storm from hungry jacks. or as americans call it, burger king   "
12681,yikes. that poor girl on bgt. that was quite hard to watch   
10707," omginorite! i'd be all fancy and tophatted all the time, it's really too bad i can't grow a handlebar moustache..   "
22751,ohhh ladyhawke is on channel 4  i sort of have a thing for rutger hauer    
39768,is loving the magic pens   
15245,"praying for pressure on brain 2 subside, for brain seizures 2 stop & for tumors 2 go - dan is comfortable but still has niggling cough   "
23743, happy birthday. let us know what you get up to old boy   
39490,  check out and started new tee's  limited edition in different ways !! check facebook group too   
28424,"good mornin. today will end early, woo. gonna work on rick's surprise project due on tuesday   "
34180," oh yeah, and a few will say she went too far, and it'll all end up putting her back on top, where she belongs.   "
23927,"cleaning out my desk, i've found a betting slip from three months ago, i stuck a tenner on #newcastle getting relegated. in the money   "
9142," yeah. she's screwed. $3000 in new tires, new turbo, and maint, paid it off, and now she'll get almost nothing.   "
19138,home finally. hungry. needs food. mad cause i might not get pizza today  hanging out with brandon. its raining.. ugh!!   
13783," well sadly i live in the most boring city in the usa, so there is nothing to do here.   "
16756, no way   
32053, haha that's always a good jam   
27746, fortunately they have a #baller waiting area   
14894,good day in the sun... little bit burnt tho... well actualy quite alot  very sore  heh   
33598,cheifs beat the 'canes 16-8! top of the table! wooo! ...and up go the sky sport virtual rugby points.   
10424,   so not close enough that i could run out and get one   
22049," agree totally, think though if we can take a point off everton and liverpool beat man city we are happy days   "
23810, you're back?   
37459,"finally made it through dead space, that only took half a year   "
20346,"  i care about eurovision! and yes, they have a 50% jury-based vote this year  #eurovision2009   "
9533, chill its da rihanna bob. if it was 16 in i'd have no problem!!! lol. r u at school all summer   
39921,  - i like mr piggls i mean pickles!!   
544,one week till exam block   
1913,im gonna go to bed alone again.  sad day for me. but itll get better.   
4458,  i did that once   
14655," what on earth happened to wentworth's page?!? i'm devastated, as i'm sure all of his fans are!   "
23097," well doesn't that look fab, even if i do say so myself!   "
10161," someone i work with today told me that if i took a real age test, it would tell me i'm 45   "
31192, and we will all eat it and be happy   
12828, i guess  ! i was really suprised..   
22961,cry baby. janes joplin what is this? munsay music. but i dont know wich shit day i  am today   
37541," how sweet, heart to heart talk with mom!   "
28712,at the  concert! i hope  makes a guest appearance   
19784,misses home on the farm   
29117,"i just got my neighbour to sign up, follow her on   xoxo   "
17503,wishing it was naptime   
37017,#happy mother's day euch allen   
20397,"  well i hope you have had a good weekend and even more so have a good day at work 2moro its already monday here,so far so good   "
22716, haha good phone conversation cat lady! you're gonna be homeless too  you didn't tell me u were having coffee!! coming tomorrow?   
17280, wish you could calll me  do u have a uk my say now number? ur accce! x   
13014,i'm supposed to be ms. twitterology   
1272,because my dad has the tv to loud. then i get creeped out cuz im from a dodgy neighbourhood and there was someone in my bush.   
10807,ugh i have boom boom pow stuck in my head and i hate that song   
24351, yes i am   
2596,man.. it's starting to rain real hard..   
30137," wow, you might be countering the benedryl with your enthusiasm.   "
21464,cant send the dream story on twitter. sending on bebo mail  x   
197,why are plane tickets so expensive   
8211,not a bad back 43. piss poor front tho. 90 still unbroken   
40,mmm much better day... so far! it's still quite early. last day of #uds   
24193, that is the sweetest loveliest thing for you to say. you made me smile. thank you for that.   
13156,he wasn't there today   my free day from when the bell rang and wen it rang at the end was okayy..but after   
13733,"playing with zeke, he's leaving today   "
38018, awesomeness   
33079,kill bill pt 2 .....i love em both wish they wold make like three more   
3843, where were u?  (via ) - meetings...   
11321," need some more enthu movie guys for that. right now it's just you,  and    "
19889,omg! i'm back. i know i was out for a week. because my brother took his laptop with him to mexico. so i couldn't be online.   
21119,come on give her nice home     
19290, fry bread is good but they only gave me a little pinch of lettuce  ha ha   
20621, haha i just nto 2 lonq aqo qot out dh ashower   
8589,wonders why am i so clumsy lately?     
12309, i want to forgive and forget this! please and i dont like him i promise i am going to live without drama for now!so please   
1917,what am i doing? what can i do?   
5214, stunningly beautiful and new piece don't usually go together. wish i could go   
8646,cops tell #tori's dad they may never find her remains     
94, correct! i adore him. i just plucked him up and put him under my arm cuz he was cryin.  all better now! hahaha   
28430, glad you got a laugh out of it   
21214,at walmart playing hide and seek.   
11041,way to not wait for me at my locker nd then just pass me in the hall nd not say anything   
35363," well, in the end, everyone's happy (most of the time)   "
20939,"the tree-lined avenue,begins to fade from view,drowning past regrets, in tea and cigarettes,but i cant seem to forget,when you came along   "
39436,"on way to the wimbledon with  to watch star trek, imax baby   "
9087, dave why why why can't this happen when i'm not working and can listen?! :::whining big time:::   
3613,i can't sleep without him nearby   
9592, i got talent too  u nvr hear me sing or dance them does call me mini breezy   
9170,i ate too many kisses.   
11162, i can't die  i have a lunch date with rocio coming up plus some new shoes ugh!   
323,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;d   
5857," thats what doting husbands are for lol!!  i hope that once my braces go on, i can eat normally again   "
5184, i wish for kiau to go cat heaven too. and meet my seuss   
33798," we should have a twitter reunion it would be awesome to meet you all lol, iwonder howd iget that to pull off   "
2088,so damn tired! another long day trw!   
29544,"  you can have  ice cream, i'll have  kiss.   "
28489, silly wendy. you know i don't speak french  just a few more hours to study before this ride begins!   
13343, that sucks.  but woot for misha.   
34068, happy mother's day to ur mom!!! i hope she has a wonderful day!!!!!   
30932," yah, i know. i appreciate it a ton   "
22977, awww you'll have to post a pic  i bet it'll look dead nice (y)   
10385,dam i missed hollyoaks 2nite!   
27494, hey no problem  how are you doing today ?   
27643,watching shows i missed on the ellipital--- love my on-demand!   
20739,laying on my bed. one spot smells like vanilla.  awesome   
9760," lol girl i cannot stop!!! i am a student, i can't afford $14 a pop eyeshadows. but i am so hooked   "
11929,nothing   
13982,<-----bored to death   
25440,early monday cramming... yay. only a few weeks left   
12867,   
37301," hermits, such as myself, like to stay in   "
25890,  hahaha awww just wait until mid-august   
36623, how was the ice cream?   
1467,"bing! no its not chandler bing, its the new search engine from microsoft  ..but why the name bing   "
28982, get  the twilightguy on your show   
17319, i miss yoooooooooooooooooooou my poia   
10121,"much to my surprise, i was using my credit card before the crack dawn to do some serious online gambling. one problem: it wasn't me.   "
12506, wish i was there wit you. some other friend of mine r down there as well.  this weekend i'll be working   
28623,time to get purrtty. *wink*   
32424, awwww   i've got some photos of cute bunnies   
31109,   
5712," awww. don't mean to sound like an overgrown age 37 baby, but i'm still stick. not as bad as yesterday, but still bad.   "
32927, best two seconds of the movie   
36903," gee, thanks   "
13926," ...moving all done, no internet until monday   at an cafe, like the new place, and work is fine. everything else, so so.   "
31303, thanks will try to behave   
39925,happy mother's day! it will be a good day   
24892, that is awesome..   
21295,getting ready to shop  birmingham here i come   
36351,happy mother's day! everyone have a great day and make sure you go see ya mommas   
28307,also...     #travel #backpacking hope you enjoy our pics & videos   
24250, i could have got you some from work and not paid more than r20 per 2l   
6251,worst day ever. and its only noon.   
4894,no yoga tonight  but i am going to try pilates. lets see how many un-used muscles i can discover   
24910, good morning alyssa!! hope u have a great wonderful day today   im happy cuz today is my last day of classes!! yay!!   
5534,"'s going to disney world, lucky bitch.   "
11567, restoration of the site would also take place as part of the banks proposals - after the birds have gone? avocets there this yr   
37063, awesome  thats what im likewith the song paranoid. its stuck in my head! and i love it  lol xxxx   
32289,that's it. i'm hooked.   
7950,such a busy day today!! banbury fair fashion show tonight and move into my apartment tomorrow! i have no started packing yet   
26011," pretty much, thanks.  seeing if a little gilbert & sullivan will cheer me up more.   "
37209, happy mommas day . ging is so lucky to have a momma like u  enjoy ur nite! luv ya   
36162,in bed after a good last saturday in ec. i'm gonna miss this place but can't wait til summer   
12312, snap. i'm the same with any reality show. watch the first and i'm hooked   very sad   
32229,"   in effect, your podcast is the audio version of your book. isn't it? (plus, it has the added charm of banter  )   "
3413,that was a  and it's because i missed too many leg sessions recently.   
27071,i am loving this beautiful monday morning!   
29293,"going to my brother's wedding in princeton, nj next sat. had to buy a navy blue sports coat and gray pants - $13 total at goodwill   "
22639,good morning! return to willen island - spring has most definitely sprung ...  ... enjoy   
11593, what happened to my real-time feed? now friend feed is just like the twitter website   
24649, i love you  kiss me!   
15298,headed home ... charlie's at the vet   
25208, thanks for that   
5973, im listening to people saying eww at out current frog disection  poor froggy.   
33443,that was a fun show. grabbing a bite to eat now.   
10480, just that you're not here...   
27928,back from aot last lec.. alot of question marks on my head.. but thank god for all the tips.. should be able to pull tru   
5116, yen lol but i can only get the vid on my phone and ipod cant find the song  lol   
33338,"mothers day, happy mothers day mom   "
33541,*[ it's time for tscc!  ]   
25652,is cheering on the arsenal ladies!!    and missing my m...x   
38709,"simple greetings from unexpected people can actually lighten our mood, doesn't it ever happen to you?   "
27365, do we need a poll to see whom is least comprehensible? haha!!   
38159, not just me then   
26320,eating a bagel  yummy   
32883,": g'night twitterverse, much twitter luv to you all  ?    "
20231,<3 korn... you guys are champions of the world   
22252, or... something to do with all the red bull?  hmmm. you think maybe?   
14397, i loved that movie! and i miss raul julia.   
28693,enjoying d view  sg flyer   
5618, come online! i need someone to talk to   
6106, i'm so sorry!! i hope she's ok  xxx   
23160,productive day 1   
37703,came tantalizingly close to acing a facebook communism quiz. one question has i hope britain will be next communist as correct answer.   
26691, how do you spell the sound of a wookie?   
14470, not sure yet... they said we'll see   
29524,ha that was cliche.   
33812, stylish soap; lots of sexy people; now we just need a version dubbed in english!  keep up the good work... bruno   
32105,"ugh im so tired and i hardly did anything but play with my niece, im goin to bed goodnight eveyone! <3   "
10606, meeee too. i am listening to sad music and missing you.  ps -    
3086, i could do with another one now myself. was back to work on monday after being off for 7 weeks  not good.   
11474,frustrated. i just found out our sitter isn't avail. tonight. now what? no tkd test 4 me i guess  good thing i'm married to the instructor   
30075, hey you weirdo! haha jk! i love you!   
28311, make sure you practice your hooping today!   
29751,watchin what a girl wants with mom and brittany..   
24044,finally shifted from twhirl to tweetdeck so i can filter through my close friends' updates  happy monday peeps   
29557,"another amazing day. ever since i got a twitter, i've been having great days   "
9097," i'm game, too bad your leaving hi!   "
16885, im home alone in the house and imma scared  x   
23310, no go rove go the mcmanus'  adam is cool tho   
32644,going to bed.   goodnight   
27914, i'm feeling a little sleepy now. been reading gunter grass... wonderful but tiny print. eyes done in   
15686,at an art party. no crazy artists as such. bit padestrian. no skanking   
38007,"man i just made a fat ass buger mmmmmmmmm  taste so fuckin delicious i love food, i eat my feelings lol   "
2630,i just spent 2 hours looking for a blog topic and ended up inventing my own.  grrrr       
5891, love it! really its simple i think of a word and put twi on the front i should be more clever   
19688,"i left a chocolate egg sitting in my office, and now it's calling my name......................   "
30510,mcdonalds in the car.     
33010,"just got out of prom, it was fun  off too after prom text me   "
26582, haha have good dreams  haha best friends forever! haha. be sweet to presh bailey   zd?b;p   
28928," omj i loved it....it was a good laugh and frankie did a great job, and you guys did too ~agnes   "
34507,had a nice mother's day with mum. she liked her presents. wondering if i'll ever see some one again. talking to sisa.   
22939," when my brother is 18, i will have moved!   "
5905,felt one tooth without the braces bracket. i got soooo hype   
3498,isn't singing oh what a beautiful day though it is from the musical oklahoma  due to insomnia and a lot of noise outside motelroom   
26949,on my flight headed 2 denver...see yall in a min   
18775," 2nd ticket has to be for the same show, though, right?  no good for a solo traveler to vegas.   "
25994,twitter you suck   
36485,"  - one road, where is the destination?   "
12349,"well, #evernote is giving away wireless sd cards 4 fllwng thm on twitter & tweeting abt #evernote_eyefi but us/can only     "
