,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
153,0.78100002,SYC,SubSaharian,9583.3203,0.0900000035762787,11.19999980926514,9.7200003,26.700001,3.369816780090332
122,0.59799999,VUT,Pacific,2877.01,0.2569999992847443,,0.85000002,,5.023574829101563
188,0.79400003,URY,LatAm,12804.84,3.453999996185303,6.199999809265137,6.0300002,24.799999,8.581491470336914
107,0.85299999,MLT,WesternDem,24094.641,0.425000011920929,5.800000190734863,8.4899998,25.9,9.749919891357422
86,0.79299998,KAZ,EastEurope,14098.88,17.42200088500977,16.70000076293945,6.29,26.299999,4.355939865112305
119,,NRU,Pacific,3130.47,0.0120000001043081,,,48.900002,3.32664942741394
142,0.79799998,ROU,EastEurope,14563.14,19.95299911499023,10.69999980926514,9.5900002,30.5,5.565009117126465
116,0.414,MOZ,SubSaharian,852.39001,25.73299980163574,63.09999847412109,1.16,18.799999,6.975581645965576
100,0.84600002,LTU,EastEurope,17559.75,2.931999921798706,4.400000095367432,15.19,30.1,6.552116870880127
41,0.42500001,COD,SubSaharian,324.16,,74.5,1.8200001,,4.32823371887207
92,0.662,KGZ,EastEurope,3010.24,5.894999980926514,23.60000038146973,3.28,26.4,6.483762264251709
20,0.75400001,BRA,LatAm,9815.2402,202.7689971923828,12.89999961853027,7.3200002,16.1,8.322834014892578
26,0.40599999,BDI,SubSaharian,663.57001,,66.9000015258789,4.1599998,,7.535565376281738
131,0.54799998,PAK,SouthAsia,2855.55,186.1900024414063,69.30000305175781,0.039999999,22.6,2.613916397094727
67,0.86500001,GRC,WesternDem,25295.27,10.92700004577637,4.099999904632568,7.5300002,43.400002,8.084266662597656
165,0.72299999,SUR,Caribbean,6049.1499,0.546999990940094,18.5,6.3200002,,5.687469959259033
95,0.495,LSO,SubSaharian,1539.79,,74.19999694824219,2.3900001,25.4,10.61767673492432
146,0.73500001,LCA,Caribbean,11095.8,0.1669999957084656,,9.9700003,,6.719041347503662
55,0.41800001,ERI,SubSaharian,1007.28,,,0.62,,3.338293075561523
54,0.44100001,ETH,SubSaharian,900.77002,88.34700012207031,46.5,1.86,4.6999998,4.884313106536865
62,0.76800001,GEO,EastEurope,7148.5698,3.730000019073486,17.79999923706055,6.1300001,30.0,7.416659355163574
132,0.78500003,PAN,LatAm,15137.04,3.788000106811523,15.89999961853027,6.7399998,7.4000001,8.025723457336426
162,0.88200003,ESP,WesternDem,31086.35,46.45500183105469,3.799999952316284,9.25,30.299999,9.02988624572754
90,0.89899999,KOR,EastAsia,33181.891,50.74700164794922,3.299999952316284,9.3299999,27.4,7.373112678527832
35,0.84500003,CHL,LatAm,15519.08,17.81900024414063,7.800000190734863,7.1599998,38.900002,7.785857677459717
130,0.78299999,PLW,Pacific,9392.5996,0.0179999992251396,,,,9.021533012390137
157,0.67799997,VNM,SouthEastAsia,4147.5698,89.69100189208984,18.39999961853027,4.0900002,23.700001,7.066778182983398
63,0.44999999,GMB,SubSaharian,1601.88,,49.20000076293945,3.4100001,,7.340400695800781
60,0.47,DJI,SubSaharian,2685.5,,,0.38,,10.56825637817383
21,0.70599997,BLZ,Caribbean,6649.1401,0.3499999940395355,15.69999980926514,6.5799999,,5.788949966430664
180,0.48800001,UGA,SubSaharian,1343.45,37.59999847412109,45.40000152587891,10.22,10.3,7.222136974334717
113,0.70099998,MDA,EastEurope,4207.8701,3.555000066757202,15.10000038146973,9.9899998,23.799999,10.32365608215332
155,0.92400002,SGP,SouthEastAsia,54268.148,5.46999979019165,2.299999952316284,1.83,16.200001,4.922791957855225
